model,setting,mean,std
ChemProp,close_filt,0.286,0.266
ChemProp,close_unfilt,0.75,0.111
ChemProp,exact,0.181,0.319
ChemProp,far_filt,0.325,0.292
ChemProp,far_unfilt,0.702,0.155
GBR,close_filt,0.296,0.297
GBR,close_unfilt,0.878,0.088
GBR,exact,0.28,0.249
GBR,far_filt,0.257,0.267
GBR,far_unfilt,0.854,0.081
Gemini3.1Pro,close_filt,0.685,0.171
Gemini3.1Pro,close_unfilt,0.789,0.153
Gemini3.1Pro,exact,0.631,0.183
Gemini3.1Pro,far_filt,0.659,0.147
Gemini3.1Pro,far_unfilt,0.81,0.12
MLP,close_filt,0.217,0.245
MLP,close_unfilt,0.843,0.134
MLP,exact,0.29,0.269
MLP,far_filt,0.23,0.211
MLP,far_unfilt,0.835,0.126
RF,close_filt,0.295,0.268
RF,close_unfilt,0.808,0.132
RF,exact,0.267,0.262
RF,far_filt,0.299,0.268
RF,far_unfilt,0.79,0.139
kNN_Tan,close_filt,0.185,0.32
kNN_Tan,close_unfilt,0.867,0.094
kNN_Tan,exact,0.239,0.257
kNN_Tan,far_filt,0.229,0.354
kNN_Tan,far_unfilt,0.829,0.114
